,0,1,2,3,4,5,6,7,8,9
,纯粹,固执,稳重,忠厚,简单,灵活,潇洒,轻佻,算计,叛逆
思考招式,嗯？哦！是#PlayerName#啊！我适才正构思一妙招，只需如此施展……,#PlayerName#，我近日修行始终不得要领，已为此苦思多日了。,#PlayerName#，我的招式还有太多纰漏之处，需得勤加练习才行。,#PlayerName#，我这招式若是使得不对，还请不要见笑。,#PlayerName#你来得正好，快看看我这招使得如何？,#PlayerName#，我这招若在此处陡然生变，你可有什么破解之法？,#PlayerName#，我这招式随手使出，可有几分潇洒自如之意啊？,#PlayerName#，看剑！\n……哈哈，开个玩笑而已。,#PlayerName#，你若能指出我招式中的纰漏，日后自有重谢。,#PlayerName#，我这招精妙非常，只怕你也难以招架！
武学见解,依我所见，武学的精要之处在于战无不胜，攻无不克,依我所见，武学的精要之处在于勤学苦练，登峰造极,依我所见，武学的精要之处在于步步为营，攻守兼备,依我所见，武学的精要之处在于修身养性，仁者无敌,依我所见，武学的精要之处在于删繁就简，返璞归真,依我所见，武学的精要之处在于活学活用，灵巧多变,依我所见，武学的精要之处在于行云流水，挥洒自如,依我所见，武学的精要之处在于避实就虚，随心所欲,依我所见，武学的精要之处在于算无遗策，克敌机先,依我所见，武学的精要之处在于破除陈规，剑走偏锋
休闲娱乐,一旦做起喜欢的事就会废寝忘食，#PlayerName#也会如此吗？,若是这门功夫一日不练成，我便一日不得安寝。,#PlayerName#近日练功可有懈怠？需知江湖中人若习武不精，早晚会吃苦头,今日艳阳高照，正适合邀三五好友郊游野炊一番,躺着不动，静静发呆也是一件美事，#PlayerName#也这么认为吧！,我正要去街上闲逛，#PlayerName#若是想来的话就同去吧,#PlayerName#来的正好，难得浮生偷闲，快随我同去痛饮几杯！,听说城中名伶正登台唱戏，#PlayerName#何不随我去听几首小曲，快活快活？,若是一事不能增进武艺或谋取利益，我便万万不愿去做,我已习惯独来独往，#PlayerName#若是无事，还望别来打扰。
评价武功,#PlayerName#你这招是如何使出的，快和我说道说道。,#PlayerName#武功与我相比孰强孰弱，早晚要分个高下才是！,#PlayerName#武功灵巧有余，若能增加一些踏实稳重便再好不过了,#PlayerName#若在武学上有疑惑不解之处，只管来问我便是,#PlayerName#近日武功可有精进？,#PlayerName#武功稳重有余，若能增加一些灵活巧变便再好不过了,#PlayerName#武功进步神速，只怕早晚要把我远远甩开。,每日练武练武，真是烦煞人也！,#PlayerName#武功虽时有进步，但还是一眼就能看出诸多破绽之处。,#PlayerName#武功若不能精进，只怕要被我远远甩在身后了。
日常见面,#PlayerName#？抱歉我心有所思，没注意到你。,#PlayerName#我们有几日未见了？容我好好回忆回忆。,不知#PlayerName#寻我有何贵干？,#PlayerName#若有我帮得上忙的地方，只管吩咐。,#PlayerName#别来无恙？,真巧，我正要离开此处，便遇到了#PlayerName#你。,#PlayerName#你我又见面了，算不算是缘分使然？,#PlayerName#几日不见，风采依旧啊！,#PlayerName#前来寻我，只怕是有事相求？,#PlayerName#有话快说吧，我还有要事在身。
诗词歌赋,击筑复击筑，欲歌双泪横。宝刀重如命，命如鸿毛轻。,日出扶桑一丈高，人间万事细如毛。野夫怒见不平事，磨损胸中万古刀。,滚滚长江东逝水，浪花淘尽英雄。是非成败转头空，青山依旧在，几度夕阳红。,士卒涂草莽，将军空尔为。乃知兵者是凶器，圣人不得已而用之。,十年磨一剑，霜刃未曾试。今日把示君，谁有不平事？,贵逼人来不自由，龙翔凤翥势难收。满堂花醉三千客，一剑霜寒十四州。,人生得意须尽欢，莫使金樽空对月。天生我材必有用，千金散尽还复来。,名花倾国两相欢，长得君王带笑看。解释春风无限恨，沉香亭北倚阑干。,飞剑纵横乍可惊，翻疑风俗妄传声。如今至穷在何处，不出为人平不平。,十步杀一人，千里不留行。事了拂衣去，深藏身与名。
为人处世,能够不断精进武艺，磨炼心性，实在是人生一大乐事。,即便穷极此生，也要追寻武学之至高境界。,江湖中人需得处处小心谨慎，行差踏错一步，就可能招来杀身之祸。,得道多助，失道寡助，行走江湖还需以道义为重。,在乱世中能够平平淡淡，无病无灾，便已是大幸了。,自由自在，来去如风的江湖生活，怎能不令人心驰神往？,什么皇图霸业，不过几杯浊酒，三两笑谈罢了。,人生在世数十载，弹指一挥间，还是应当及时行乐才是。,宁教我负天下人，休教天下人负我。,与我为敌之人，自是应当赶尽杀绝才是。
对待朋友,人生在世，能得一两知己，便已足够。,君子一诺值千金，对待朋友必当生死相依，不离不弃。,知人知面不知心，在结交朋友时，也应当思量三分，不可率性而为。,对待朋友应当肝胆相照，毫无保留，#PlayerName#想必也如此认为。,对待他人若是真心实意，他人自然也会以真心回报。,缘起相聚，缘散别离，江湖中人身若浮萍，无外如是。,不论正邪贵贱，男女老少，只要能共饮三杯，便是朋友一场。,窈窕淑女，君子好逑，如此风雅之事，又何罪之有？,若没有利用价值，这样的朋友不如不交。,江湖中所谓知己好友，大多是酒肉之交，相互利用罢了。
对待仇敌,兵来将挡，水来土掩，若有人与我为敌，我便要与他分个高下。,冤家自是宜解不宜结，但一旦结下，便定要赶尽杀绝。,行走江湖，危机四伏，还是不要与人轻易结下仇怨为妙。,江湖中人以和为贵，若能化敌为友，化干戈为玉帛，岂不是美事一桩！,以德报怨，何以报德。对待为敌之人，不能心慈手软。,若遇到仇家上门，打得过就打，打不过只管逃跑便是。,往事如烟，去日苦多，没有什么仇怨是不能化解的。,遇上仇家，我自然要啐上他两口唾沫，方能一解心头之恨,天下熙熙，皆为利来，没有永远的敌友，只有永远的利益。,若有人敢与我为敌，我定要叫他后悔终生
